sep=,
PacketCounter,SampleTimeFine,Euler_X,Euler_Y,Euler_Z,dv[1],dv[2],dv[3],Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z,
0, 747118695, -25.339750289916992, -16.34546661376953, -172.65194702148438, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
1, 747135362, -23.328365325927734, -18.674917221069336, -173.2789764404297, 0.07057070732116699, -0.06021302938461304, 0.13486063480377197, 4.253355503082275, -3.5594065189361572, 8.105091094970703, 35.95354080200195, -8.412360191345215, -17.762113571166992, 
2, 747152029, -21.769262313842773, -20.765857696533203, -173.81690979003906, 0.07393604516983032, -0.07904970645904541, 0.12773936986923218, 4.458591461181641, -4.670223712921143, 7.695846080780029, 51.612186431884766, -5.857486248016357, -23.280046463012695, 
3, 747168696, -21.210973739624023, -22.404075622558594, -174.01327514648438, 0.07391691207885742, -0.05475795269012451, 0.15913182497024536, 4.453962802886963, -3.1863646507263184, 9.572582244873047, 59.023094177246094, -4.732720375061035, -26.337095260620117, 
4, 747185363, -20.18939208984375, -23.777084350585938, -174.29296875, 0.05940735340118408, -0.02286064624786377, 0.2050027847290039, 3.6175599098205566, -1.2575066089630127, 12.296805381774902, 55.87785339355469, -26.78946876525879, -27.150856018066406, 
5, 747202030, -18.736114501953125, -25.02037239074707, -174.7488250732422, 0.06007575988769531, -0.035316407680511475, 0.2236606478691101, 3.7481014728546143, -2.0516197681427, 13.390778541564941, 27.05006217956543, -69.35462951660156, -27.41788673400879, 
6, 747218697, -17.408157348632812, -26.72608757019043, -175.35301208496094, 0.052958905696868896, -0.07968717813491821, 0.2235456109046936, 3.445544958114624, -4.742313861846924, 13.360912322998047, 8.758173942565918, -121.29168701171875, -45.79071044921875, 
7, 747235364, -16.832687377929688, -28.961545944213867, -175.88356018066406, 0.0709758996963501, -0.0512317419052124, 0.21289920806884766, 4.600505828857422, -3.04775333404541, 12.662556648254395, -8.52941608428955, -168.76809692382812, -65.86715698242188, 
8, 747252031, -16.633413314819336, -31.8087100982666, -176.3186798095703, 0.07312607765197754, -0.007850706577301025, 0.16938626766204834, 4.692284107208252, -0.4592631161212921, 10.02828311920166, -23.562965393066406, -203.81089782714844, -71.13343811035156, 
9, 747268698, -16.592086791992188, -34.95908737182617, -176.57437133789062, 0.09009730815887451, -0.0008336305618286133, 0.12271571159362793, 5.635987281799316, -0.03743605688214302, 7.190069675445557, -32.784828186035156, -216.30667114257812, -59.45966720581055, 
10, 747285365, -16.592193603515625, -38.15252685546875, -176.82537841796875, 0.11115497350692749, -0.026345372200012207, 0.06290978193283081, 6.791686534881592, -1.5473235845565796, 3.566767692565918, -34.9751091003418, -204.6580352783203, -53.49873733520508, 
11, 747302032, -16.707979202270508, -41.16236877441406, -177.15029907226562, 0.13208824396133423, -0.03289926052093506, 0.036039531230926514, 7.9931206703186035, -1.9229763746261597, 1.9517161846160889, -35.649810791015625, -173.39820861816406, -53.446475982666016, 
12, 747318699, -16.900596618652344, -43.89548873901367, -177.5641632080078, 0.1387042999267578, -0.028355717658996582, 0.036889731884002686, 8.378596305847168, -1.648154616355896, 2.0361013412475586, -36.4711799621582, -138.72901916503906, -53.232845306396484, 
13, 747335366, -17.123376846313477, -46.26844024658203, -178.07754516601562, 0.1467752456665039, -0.020611166954040527, 0.039217233657836914, 8.851085662841797, -1.184007167816162, 2.209587574005127, -39.049903869628906, -106.36497497558594, -51.22941970825195, 
14, 747352033, -17.38037109375, -48.312095642089844, -178.6620635986328, 0.14991259574890137, -0.017618000507354736, 0.05143630504608154, 9.037525177001953, -1.0141063928604126, 2.973893642425537, -43.39447021484375, -80.6197280883789, -47.46404266357422, 
